seq_unique,seq_name,L1_annotation,c_call,sample_clean_fol,L1_annotation_int,c_call_int,sample_clean_fol_int
seq3360,sequence_7291,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3361,sequence_7292:sequence_7847,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3362,sequence_7293,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3363,sequence_7294:sequence_7649,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3364,sequence_7295:sequence_7832,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3365,sequence_7297,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3366,sequence_7300,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3367,sequence_7301,GC_B_cells,NA,HH119-SI-PP_Fol-34,1,31,88
seq3368,sequence_7306:sequence_7963,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3369,sequence_7308:sequence_7464:sequence_7559,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq337,sequence_504,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq3370,sequence_7310,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3371,sequence_7313,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3372,sequence_7314,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3373,sequence_7315,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3374,sequence_7316,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3375,sequence_7318,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3376,sequence_7319:sequence_7393,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3377,sequence_7320:sequence_7618:sequence_7684:sequence_7822,Memory_Bcells:GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,7,6,88
seq3378,sequence_7322,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3379,sequence_7323:sequence_7519:sequence_7549,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq338,sequence_506,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq3380,sequence_7325,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3381,sequence_7326,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3382,sequence_7327,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3383,sequence_7331,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3384,sequence_7332:sequence_7485,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3385,sequence_7335,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3386,sequence_7336,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3387,sequence_7338,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3388,sequence_7341,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3389,sequence_7342:sequence_7442,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq339,sequence_507,GC_B_cells,NA,HH119-SI-MILF,1,31,4
seq3390,sequence_7343,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3391,sequence_7348,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3392,sequence_7349,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3393,sequence_7351,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3394,sequence_7355,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3395,sequence_7356:sequence_7494:sequence_7581:sequence_7719,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3396,sequence_7358,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3397,sequence_7360,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3398,sequence_7361,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
