"seq_unique","PCs","NA"
"seq2036",0,2
"seq2037",0,1
"seq2038",0,1
"seq2039",0,1
"seq204",0,1
"seq2040",0,1
"seq2041",0,1
"seq2042",0,1
"seq2043",0,1
"seq2044",0,1
"seq2045",0,1
"seq2046",0,1
"seq2047",0,1
"seq2048",0,1
"seq2049",0,1
"seq205",0,1
"seq2050",0,1
"seq2051",0,1
"seq2052",0,1
"seq2053",0,1
"seq2054",0,1
"seq2055",0,1
"seq2056",0,1
"seq2057",0,1
"seq2058",0,1
"seq2059",0,1
"seq206",0,1
"seq2060",0,1
"seq2061",0,1
"seq2062",0,1
"seq2063",0,1
"seq2064",0,1
"seq2065",0,1
"seq2066",0,1
"seq2067",0,1
"seq2068",0,1
"seq2069",0,1
"seq207",0,1
"seq2070",0,1
"seq2071",0,1
"seq2072",0,1
"seq2073",0,4
"seq2074",0,4
"seq2075",0,1
"seq2076",0,1
"seq2077",0,1
"seq2078",0,1
"seq2079",0,1
"seq208",0,1
"seq2080",0,1
"seq2081",0,1
"seq2082",0,3
"seq2083",0,1
"seq2084",0,2
"seq2085",0,4
"seq2086",0,1
"seq2087",0,1
"seq2088",0,1
"seq2089",0,1
"seq209",0,1
"seq2090",0,1
"seq2091",0,1
"seq2092",0,3
"seq2093",0,1
"seq2094",0,1
"seq2095",0,1
"seq2096",0,6
"seq2097",0,2
"seq2098",0,2
"seq2099",0,1
"seq21",1,3
"seq210",0,1
"seq2100",0,1
"seq2101",0,1
"seq2102",0,1
"seq2103",0,1
"seq2104",0,1
"seq2105",0,1
"seq2106",0,1
"seq2107",0,1
"seq2108",0,1
"seq2109",0,3
"seq211",0,1
"seq2110",0,2
"seq2111",0,1
"seq2112",0,1
"seq2113",0,1
"seq2114",0,1
"seq2115",0,3
"seq2116",0,1
"seq2117",0,1
"seq2118",0,1
"seq2119",0,1
"seq212",0,1
"seq2120",0,4
"seq2121",0,1
"seq2122",0,2
"seq2123",0,2
"seq2124",0,2
"seq2125",0,1
"seq2126",0,4
"seq2127",0,1
"seq2128",0,1
"seq2129",0,2
"seq213",0,1
"seq2130",0,1
"seq2131",0,2
"seq2132",0,1
"seq2133",0,2
"seq2134",0,3
"seq2135",0,1
"seq2136",0,1
"seq2137",0,2
"seq2138",0,3
"seq2139",0,1
"seq214",0,1
"seq2140",0,1
"seq2141",0,1
"seq2142",0,1
"seq2143",0,2
"seq2144",0,1
"seq2145",0,1
"seq2146",0,1
"seq2147",0,1
"seq2148",0,1
"seq2149",0,1
"seq215",0,1
"seq2150",0,2
"seq2151",0,1
"seq2152",0,1
"seq2153",0,2
"seq2154",0,1
