"seq_unique","GC_B_cells","PCs","Memory_Bcells","Unconventional_Bcells","Naive_Bcells"
"seq1438",1,0,0,0,0
"seq1439",4,0,0,0,0
"seq144",1,0,0,0,0
"seq1440",1,0,0,0,0
"seq1441",1,0,0,0,0
"seq1442",1,0,0,0,0
"seq1443",1,0,0,0,0
"seq1444",1,0,0,0,0
"seq1445",1,0,0,0,0
"seq1446",6,0,0,0,0
"seq1447",1,0,0,0,0
"seq1448",1,0,0,0,0
"seq1449",4,0,0,0,0
"seq145",1,0,0,0,0
"seq1450",2,0,0,0,0
"seq1451",1,0,0,0,0
"seq1452",1,0,0,0,0
"seq1453",1,0,0,0,0
"seq1454",1,0,0,0,0
"seq1455",1,0,0,0,0
"seq1456",1,2,0,0,0
"seq1457",2,0,0,0,0
"seq1458",1,0,0,0,0
"seq1459",1,0,0,0,0
"seq146",1,0,0,0,0
"seq1460",1,0,0,0,0
"seq1461",1,0,0,0,0
"seq1462",1,0,0,0,0
"seq1463",7,0,0,0,0
"seq1464",1,0,0,0,0
"seq1465",1,0,0,0,0
"seq1466",1,0,0,0,0
"seq1467",1,0,0,0,0
"seq1468",1,0,0,0,0
"seq1469",9,0,0,0,0
"seq147",1,0,0,0,0
"seq1470",3,0,0,0,0
"seq1471",7,0,0,0,0
"seq1472",1,0,0,0,0
"seq1473",4,0,0,0,0
"seq1474",1,0,0,0,0
"seq1475",1,0,0,0,0
"seq1476",1,0,0,0,0
"seq1477",1,0,0,0,0
"seq1478",1,0,0,0,0
"seq1479",1,0,0,0,0
"seq148",1,0,0,0,0
"seq1480",1,0,0,0,0
"seq1481",1,0,0,0,0
"seq1482",1,0,0,0,0
"seq1483",1,0,0,0,0
"seq1484",1,0,0,0,0
"seq1485",3,0,0,0,0
"seq1486",1,0,0,0,0
"seq1487",1,0,0,0,0
"seq1488",1,0,0,0,0
"seq1489",1,0,0,0,0
"seq149",2,0,0,0,0
"seq1490",3,0,0,0,0
"seq1491",1,0,0,0,0
"seq1492",1,0,0,0,0
"seq1493",1,0,0,0,0
"seq1494",1,0,0,0,0
"seq1495",1,0,0,0,0
"seq1496",1,0,0,0,0
"seq1497",4,0,0,0,0
"seq1498",1,0,0,0,0
"seq1499",1,0,0,0,0
"seq15",1,0,0,0,0
"seq150",0,1,0,0,0
"seq1500",2,0,0,0,0
"seq1501",1,0,0,0,0
"seq1502",1,0,0,0,0
"seq1503",1,0,0,0,0
"seq1504",1,0,0,0,0
"seq1505",3,0,0,0,0
"seq1506",1,0,0,0,0
"seq1507",1,0,0,0,0
"seq1508",7,0,0,0,0
"seq1509",1,0,0,0,0
"seq151",1,0,0,0,0
"seq1510",1,0,0,0,0
"seq1511",1,0,0,0,0
"seq1512",4,0,0,0,0
"seq1513",1,0,0,0,0
"seq1514",1,0,0,0,0
"seq1515",1,0,0,0,0
"seq1516",1,0,0,0,0
"seq1517",1,0,0,0,0
"seq1518",1,0,0,0,0
"seq1519",1,0,0,0,0
"seq152",4,0,0,0,0
"seq1520",5,0,0,0,0
"seq1521",1,0,0,0,0
"seq1522",8,1,0,0,0
"seq1523",7,0,0,0,0
"seq1524",0,1,0,0,0
"seq1525",1,0,0,0,0
"seq1526",1,0,0,0,0
"seq1527",3,0,0,0,0
