"seq_unique","IGHG1","IGHA1","IGHE","IGHG2","IGHG3","IGHM","NA","IGHG4","IGHA2","IGHD"
"seq1251",6,0,0,0,0,0,0,0,0,0
"seq1252",1,0,0,0,0,0,0,0,0,0
"seq1253",1,0,0,0,0,0,0,0,0,0
"seq1254",2,0,0,0,0,0,0,0,0,0
"seq1255",1,0,0,0,0,0,0,0,0,0
"seq1256",1,0,0,0,0,0,0,0,0,0
"seq1257",1,0,0,0,0,0,0,0,0,0
"seq1258",5,0,0,0,0,0,0,0,0,0
"seq1259",2,0,0,0,0,0,0,0,0,0
"seq126",0,0,0,0,1,0,0,0,0,0
"seq1260",1,0,0,0,0,0,0,0,0,0
"seq1261",1,0,0,0,0,0,0,0,0,0
"seq1262",1,0,0,0,0,0,0,0,0,0
"seq1263",1,0,0,0,0,0,0,0,0,0
"seq1264",1,0,0,0,0,0,0,0,0,0
"seq1265",1,0,0,0,0,0,0,0,0,0
"seq1266",1,0,0,0,0,0,0,0,0,0
"seq1267",1,0,0,0,0,0,0,0,0,0
"seq1268",1,0,0,0,0,0,0,0,0,0
"seq1269",2,0,0,0,0,0,0,0,0,0
"seq127",1,0,0,0,0,0,0,0,0,0
"seq1270",3,0,0,0,0,0,0,0,0,0
"seq1271",2,0,0,0,0,0,0,0,0,0
"seq1272",1,0,0,0,0,0,0,0,0,0
"seq1273",5,0,0,0,0,0,0,0,0,0
"seq1274",1,0,0,0,0,0,0,0,0,0
"seq1275",1,0,0,0,0,0,0,0,0,0
"seq1276",1,0,0,0,0,0,0,0,0,0
"seq1277",1,0,0,0,0,0,0,0,0,0
"seq1278",1,0,0,0,0,0,0,0,0,0
"seq1279",1,0,0,0,0,0,0,0,0,0
"seq128",0,0,0,0,2,0,1,0,0,0
"seq1280",1,0,0,0,0,0,0,0,0,0
"seq1281",1,0,0,0,0,0,0,0,0,0
"seq1282",3,0,0,0,0,0,0,0,0,0
"seq1283",1,0,0,0,0,0,0,0,0,0
"seq1284",1,0,0,0,0,0,0,0,0,0
"seq1285",1,0,0,0,0,0,0,0,0,0
"seq1286",1,0,0,0,0,0,0,0,0,0
"seq1287",1,0,0,0,0,0,0,0,0,0
"seq1288",1,0,0,0,0,0,0,0,0,0
"seq1289",1,0,0,0,0,0,0,0,0,0
"seq129",0,0,0,0,0,2,0,0,0,0
